,cognitive_forcing,contrastive_explanation,skill_preservation,draft_annotation,uncertainty_transparency,complementarity,anti_sycophancy,metacognitive_calibration,appropriate_reliance,ethical_surfacing
cognitive_forcing,1.0,0.06979539267319951,0.18478171932381987,0.3091188167857166,0.6397276812038141,0.7496583082082581,0.34110538529640416,0.00034863084267193294,0.11685117168511168,0.3874458049533887
contrastive_explanation,0.0697953926731995,0.9999999999999999,0.09943615184878037,0.22857608711463265,-0.037148839655064415,0.1295053321606648,0.29768766547254766,0.17293792129786792,0.19099270491079096,0.22723097650069607
skill_preservation,0.18478171932381987,0.09943615184878037,1.0,0.14900676893324616,0.14425630439049328,0.1414408952529832,0.1389160866363806,0.09278085219517276,0.20450171136087805,0.1413848891433135
draft_annotation,0.3091188167857166,0.22857608711463265,0.14900676893324616,1.0,0.27518440437236763,0.34368047169791266,0.34121608306481105,0.29050607943082324,0.42657287761504914,0.2884857995501249
uncertainty_transparency,0.639727681203814,-0.037148839655064415,0.14425630439049328,0.2751844043723676,1.0,0.5010921201765048,0.3051457737320259,0.17040476817641043,0.23175458719473077,0.24967791932790745
complementarity,0.7496583082082581,0.1295053321606648,0.1414408952529832,0.3436804716979126,0.5010921201765048,1.0,0.35641017470813846,0.07728567085218739,0.2250282670768226,0.3811484173449054
anti_sycophancy,0.34110538529640416,0.29768766547254766,0.13891608663638064,0.3412160830648111,0.30514577373202584,0.3564101747081385,0.9999999999999999,0.2654956716998477,0.1897835397010165,0.5050531585613769
metacognitive_calibration,0.00034863084267193294,0.17293792129786792,0.09278085219517276,0.2905060794308232,0.17040476817641043,0.07728567085218739,0.2654956716998477,1.0,0.42019481398594855,0.1657406362057906
appropriate_reliance,0.11685117168511167,0.19099270491079096,0.20450171136087805,0.42657287761504914,0.23175458719473077,0.2250282670768226,0.18978353970101652,0.4201948139859486,1.0,0.2436032193663015
ethical_surfacing,0.3874458049533887,0.22723097650069607,0.1413848891433135,0.2884857995501248,0.24967791932790742,0.38114841734490534,0.5050531585613769,0.16574063620579063,0.2436032193663015,1.0
