Dimension,N,exact,adjacent,qwk,alpha,spread
cognitive_forcing,1387,67.33958183129054,90.91564527757751,0.863291102816551,0.861408369831138,0.4239365537130497
contrastive_explanation,1357,47.67870302137067,91.08327192336036,0.7027529720786133,0.7017706068411966,0.6168017686072218
skill_preservation,1384,48.554913294797686,86.77745664739885,0.4512437899213808,0.4297118317794246,0.755057803468208
draft_annotation,1389,69.69042476601872,94.52843772498201,0.8199205211661501,0.8191180986974322,0.3959683225341973
uncertainty_transparency,1324,14.04833836858006,62.839879154078545,0.4352130139728206,0.3924488464135195,1.3308157099697886
complementarity,1381,68.50108616944243,97.75524981897176,0.926956418914236,0.9268779214810422,0.3403330919623461
anti_sycophancy,1386,79.36507936507937,91.91919191919192,0.870387392604246,0.8707971033874085,0.2972582972582973
metacognitive_calibration,1331,29.601803155522166,47.55822689706987,0.43482722189181305,0.36428779315028625,1.4327573253193089
appropriate_reliance,1364,18.621700879765395,31.524926686217007,0.31477378448544713,0.09297322133761121,1.7954545454545454
ethical_surfacing,1369,69.97808619430242,89.40832724616509,0.7841621008533658,0.783933836015669,0.43754565376187
POOLED,13672,51.63107080163839,78.65710942071387,0.700565295486428,0.6962004811090561,0.7766968987712113
