Model,Variant,PWI,CI_lower,CI_upper
DeepSeek V3.2,baseline,29.8,28.0,31.7
DeepSeek V3.2,with_system_prompt,72.2,69.8,74.5
Devstral-2 123B,baseline,25.8,24.2,27.5
Devstral-2 123B,with_system_prompt,60.0,57.6,62.4
GLM 5.1,baseline,40.7,39.4,42.1
GLM 5.1,with_system_prompt,84.7,83.1,86.2
GPT-oss 120B,baseline,28.9,27.1,30.7
GPT-oss 120B,with_system_prompt,64.1,62.0,66.0
Gemma 4 31B,baseline,40.8,39.3,42.2
Gemma 4 31B,with_system_prompt,77.2,75.3,79.0
Nemotron-Cascade 30B,baseline,33.2,31.4,35.0
Nemotron-Cascade 30B,with_system_prompt,60.1,58.2,62.0
Qwen3.5 27B,baseline,34.1,32.2,36.1
Qwen3.5 27B,with_system_prompt,58.2,56.4,60.2
