model,dimension,score
Qwen3.5 27B,cognitive_forcing,0.2
Qwen3.5 27B,cognitive_forcing,0.4
Qwen3.5 27B,cognitive_forcing,0.0
Qwen3.5 27B,cognitive_forcing,0.2
Qwen3.5 27B,cognitive_forcing,0.0
Qwen3.5 27B,cognitive_forcing,0.4
Qwen3.5 27B,cognitive_forcing,0.0
Qwen3.5 27B,cognitive_forcing,0.2
Qwen3.5 27B,cognitive_forcing,0.0
Qwen3.5 27B,cognitive_forcing,1.0
Qwen3.5 27B,cognitive_forcing,0.4
Qwen3.5 27B,cognitive_forcing,0.4
Qwen3.5 27B,cognitive_forcing,0.4
Qwen3.5 27B,cognitive_forcing,0.6
Qwen3.5 27B,cognitive_forcing,0.0
Qwen3.5 27B,cognitive_forcing,0.2
Qwen3.5 27B,cognitive_forcing,0.4
Qwen3.5 27B,cognitive_forcing,0.0
Qwen3.5 27B,cognitive_forcing,0.2
Qwen3.5 27B,cognitive_forcing,0.0
Qwen3.5 27B,cognitive_forcing,0.4
Qwen3.5 27B,cognitive_forcing,0.0
Qwen3.5 27B,cognitive_forcing,0.2
Qwen3.5 27B,cognitive_forcing,0.0
Qwen3.5 27B,cognitive_forcing,1.0
Qwen3.5 27B,cognitive_forcing,0.4
Qwen3.5 27B,cognitive_forcing,0.4
Qwen3.5 27B,cognitive_forcing,0.4
Qwen3.5 27B,cognitive_forcing,0.6
Qwen3.5 27B,cognitive_forcing,0.0
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,3.0
Qwen3.5 27B,complementarity,0.2
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.6
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.0
Qwen3.5 27B,complementarity,0.0
